text	rel_pos	dep_label
Introduction	[0]	['root']
Research on adult-learned second language (L2) has provided considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [1] – [11].	[9, 3, 2, 1, -4, 1, -2, -1, 1, 0, 1, -2, 3, 2, 1, -4, -1, 1, -2, 1, -2, 2, 1, -5, 1, -16, -1, 2, 1, -4, -1, -22]	['nsubj', 'case', 'amod', 'amod', 'nmod', 'punct', 'appos', 'punct', 'aux', 'root', 'amod', 'obj', 'case', 'det', 'amod', 'nmod', 'acl', 'det', 'obj', 'cc', 'conj', 'case', 'compound', 'nmod', 'punct', 'dep', 'punct', 'case', 'punct', 'nmod', 'punct', 'punct']
Of interest here, studies suggest that, despite the difficulties in acquiring L2 grammar, adult learners can approximate native-like levels of use and neurocognitive processing [12] – [15].	[1, 4, 3, -1, 1, 0, 13, -1, 2, 1, 9, 1, -2, 1, -2, -5, 1, 2, 1, -14, 1, -2, 1, -2, 2, 1, -3, 1, -23, -1, 2, 1, -4, -1, -29]	['case', 'obl', 'advmod', 'punct', 'nsubj', 'root', 'mark', 'punct', 'case', 'det', 'obl', 'mark', 'acl', 'compound', 'obj', 'punct', 'amod', 'nsubj', 'aux', 'ccomp', 'amod', 'obj', 'case', 'nmod', 'cc', 'amod', 'conj', 'punct', 'dep', 'punct', 'case', 'punct', 'nmod', 'punct', 'punct']
However, it is not enough to have attained such native-like levels.	[5, -1, 3, 2, 1, 0, 2, 1, -3, 2, 1, -3, -7]	['advmod', 'punct', 'expl', 'cop', 'advmod', 'root', 'mark', 'aux', 'csubj', 'amod', 'amod', 'obj', 'punct']
Crucially, it is also desirable to retain them, even in the absence of continued practice or exposure to the L2.	[5, -1, 3, 2, 1, 0, 1, -2, -1, 4, 3, 2, 1, -8, 2, 1, -3, 1, -2, 2, 1, -3, -17]	['advmod', 'punct', 'expl', 'cop', 'advmod', 'root', 'mark', 'csubj', 'obj', 'punct', 'advmod', 'case', 'det', 'obl', 'case', 'amod', 'nmod', 'cc', 'conj', 'case', 'det', 'nmod', 'punct']
In fact, substantial periods (months to years) of limited or no exposure following L2 training are not uncommon, and may even be the norm [16].	[1, 19, -1, 1, 16, 1, -2, 1, -2, -3, 4, 3, 1, -2, -10, -1, 1, -2, 2, 1, 0, 6, 5, 4, 3, 2, 1, -7, 1, -9, -1, -11]	['case', 'obl', 'punct', 'amod', 'nsubj', 'punct', 'appos', 'case', 'nmod', 'punct', 'case', 'amod', 'cc', 'conj', 'nmod', 'acl', 'compound', 'obj', 'cop', 'advmod', 'root', 'punct', 'cc', 'aux', 'advmod', 'cop', 'det', 'conj', 'punct', 'dep', 'punct', 'punct']
Such a scenario may be found in different situations, including when one studies a language in a classroom and then stops taking classes [17], [18] and when one is immersed in a foreign language setting and then moves away [19].	[2, 1, 3, 2, 1, 0, 2, 1, -3, 2, 1, -3, 1, -2, 1, -2, 2, 1, -5, 2, 1, -8, -1, -1, 1, -12, -1, 2, 1, -4, -1, 4, 3, 2, 1, -22, 4, 3, 1, 1, -5, 2, 1, -8, -1, 1, -11, -1, -43]	['det:predet', 'det', 'nsubj:pass', 'aux', 'aux:pass', 'root', 'case', 'amod', 'obl', 'punct', 'case', 'nmod', 'nsubj', 'acl:relcl', 'det', 'obj', 'case', 'det', 'obl', 'cc', 'advmod', 'conj', 'xcomp', 'obj', 'punct', 'dep', 'punct', 'punct', 'punct', 'conj', 'punct', 'cc', 'mark', 'nsubj', 'cop', 'conj', 'case', 'det', 'amod', 'compound', 'obl', 'cc', 'advmod', 'conj', 'advmod', 'punct', 'dep', 'punct', 'punct']
In the present study, we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar: that is, whether a substantial period of no exposure leads to decreased proficiency and / orless native-like neural processes (“use it or lose it” [20]), no such changes, or perhaps whether even higher proficiency and / ormore native-like processing may be observed.	[3, 2, 1, 3, -1, 1, 0, 1, -2, 3, 2, 1, -4, 2, 1, -3, 2, 1, -10, 2, 1, -3, 11, 10, -1, -2, 7, 2, 1, 4, 2, 1, -3, -27, 2, 1, -3, 6, 1, -2, 1, 2, 1, -7, 2, 1, -13, -1, 1, -3, -1, -5, 1, -20, -1, -2, 3, 2, 1, -23, 15, 14, 13, 12, 1, 1, 9, 5, 1, -2, 1, 1, -6, 2, 1, -42, -70]	['case', 'det', 'amod', 'obl', 'punct', 'nsubj', 'root', 'det', 'obj', 'case', 'det:predet', 'det', 'nmod', 'case', 'det', 'nmod', 'case', 'det', 'nmod', 'case', 'compound', 'nmod', 'punct', 'obl:npmod', 'fixed', 'punct', 'mark', 'det', 'amod', 'nsubj', 'case', 'det', 'nmod', 'parataxis', 'case', 'amod', 'obl', 'cc', 'cc', 'conj', 'advmod', 'amod', 'amod', 'conj', 'punct', 'punct', 'parataxis', 'obj', 'cc', 'conj', 'obj', 'punct', 'punct', 'dep', 'punct', 'punct', 'punct', 'det', 'amod', 'conj', 'punct', 'cc', 'advmod', 'mark', 'advmod', 'amod', 'nsubj:pass', 'cc', 'cc', 'conj', 'advmod', 'amod', 'conj', 'aux', 'aux:pass', 'conj', 'punct']
Additionally, we test whether any such outcomes might vary as a function of the type of L2 training, in particular between classroom-like and immersion-like contexts.	[3, -1, 1, 0, 5, 2, 1, 2, 1, -6, 2, 1, -3, 2, 1, -3, 2, 1, -3, 7, 1, 5, 4, 3, 1, -2, -17, -24]	['advmod', 'punct', 'nsubj', 'root', 'mark', 'det', 'amod', 'nsubj', 'aux', 'ccomp', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'case', 'compound', 'nmod', 'punct', 'case', 'nmod', 'case', 'amod', 'cc', 'conj', 'obl', 'punct']
Previous Research	[1, 0]	['amod', 'root']
